Num,Ara,Eng
1091,وزار,and visited
1092,واجتمع,he came into contact
1093,بجماعة,with many
1094,كالناصر اللقانيّ,such as En-Nâsir-El-Laqqâni
1095,والشريف,Sherif
1096,يوسف,Youcef
1097,تلميذ,disciple
1098,السيوطيّ,of Es-Soyouti
1099,والجمال,El-Djemal
1100,بن,son of
1101,الشيخ,Shiekh
1102,زكرياء,Zakariya
1103,والاجهوريّ,El-Adjhouri
1104,والتاجوريّ,Et-Tadjouri
1105,وبمكّة,in Mecca
1106,وطيّبة,0
1107,بامين الدين الميمونيّ,Amîn-eddîn-El-Meïmouni
1108,والملاءيّ,El-Mellaï
1109,وابن حجر,Ibn-Hadjar
1110,وعبد العزيز اللمطيّ,Abdelaziz-El-Lamti
1111,وعبد المعطي السخاويّ,Abdelmoʻti-Es-Sekhaouï
1112,وعبد القادر الفاكهيّ,Abdelqader-El-Fakihi
1113,وغيرهم,etc.
1114,وانتفع,he benefitted
1115,بهم,from
1116,ولازم,he […] frequented
1117,ابا المكارم محمّد البكريّ,'Aboul-Makârim-Mohammed-El-Bekri 
1118,وتبرّك به,and enjoyed his divine protection
1119,وقيّد,he noted
1120,عنه,from this master
1121,فوائد,proposals 
1122,ثمّ,then
1123,قفل,returned 
1124,لبلده,to his country 
1125,فدرّس,he gave […] courses
1126,قليلاً,a few
1127,وشرح,he commented on
1128,مخمّسات,tekhmis 
1129,العشرينيّات,of the 'Achriniyrit 
1130,الفازازيّة,el-fazaziya
1131,في,0
1132,مدائح,a poem in honour
1133,النبىّ,of the Prophet
1134,صلّى,0
1135,الله,0
1136,عليه,0
1137,وسلّم,0
1138,ومنظومة,the poem
1139,المغيلّي,of El-Moghili
1140,في,on
1141,المنطق,logic
1142,شرحاً,commentary
1143,حسناً,an excellent
1144,وعلّق,and made […] glosses
1145,على,on
1146,موضع,a passage
1147,من,of
1148,خليل,Khelil
1149,وعلى,on
1150,شرحه,the commentary 
1151,للتتاءيّ,of Et-Tataï 
1152,حاشية,marginal 
1153,بيّن,to show 
1154,فيه,0
1155,مواضع,passages
1156,السهو,inaccurate
1157,منه,of this work
1158,وعلى,on 
1159,صغرى,the Soghra 
1160,السنوسيّ,of Es-Senousi
1161,والقرطبيّة,the Qortobiya 
1162,وجمل,and the Djomel 
1163,الخونجيّ,of El-Khoundji 
1164,وفى,on
1165,الاصول,the osoul 
1166,ولم,he did not 
1167,يكمل,complete
1168,غالبها,most of these 
1169,اسمع,he explained 
1170,الصحيحين,the two Saħiħ
1171,نيفاً,and some 
1172,وعشرين,for twenty
1173,سنة,years
1174,في,during
1175,شهر,the month
1176,رجب,of Redjeb
1177,وتالييه,and the following 
1178,وغيرهما,two months
1179,توفّى,he died
1180,في,on
1181,ليلة الاثنين,Sunday evening
1182,سابع عشر,the 17th
1183,من,of
1184,شعبان,Sha'ban
1185,عام,in the year
1186,احدى وتسعين وتسعماية,991
1187,وثقل,had become embarrassed
1188,عليه,0
1189,لسانه,his speech
1190,وهو,he
1191,يقرأ,was reading
1192,صحيح,the Sahiḥ 
1193,مسلم,of Moslem
1194,فى,in
1195,الجامع,the Mosque
1196,فاشار,beckoned
1197,عليه,him
1198,شيخنا,our master
1199,العلّامة,the most learned 
1200,محمّد بغيع,Mohammed-Baghyo'o
1201,وهو,who was
1202,جالس,sitting
1203,حذاءه,opposite him
1204,بقطع,to interrupt
1205,القراءة,reading
1206,فتوفّى,he died
1207,ليلة,0
1208,الاثنين,Monday
1209,بعده,the following
1210,اخذ عنه,among his […] disciples
1211,جماعة,many
1212,كالفقيهين,the two […] jurisconsults
1213,الصالحين,virtuous
1214,شيخنا,our master
1215,محمّد,Mohammad
1216,واخيه,and his brother 
1217,احمد,Ahmed
1218,ابنى,sons
1219,الفقيه,of the jurisconsult
1220,محمود يغيع,Mahmud-Baghyo'o
1221,قرأ,they studied 
1222,عليه,under him
1223,الاصول,osul
1224,والبيان,rhetoric
1225,والمنطق,and logic
1226,والفقيهين,the two jurisconsults 
1227,الاخوين,brothers
1228,عبد الله,Abdallah
1229,وعبد الرحمن,'Abderrahman
1230,ابنى,sons
1231,الفقيه,of the jurisconsult
1232,محمود,Mahmud
1233,وغيرهم,and others
1234,وحضرت,I […] attended
1235,لنا,myself
1236,عليه,0
1237,اشياء,subjects
1238,عدّة,many
1239,واجازني,he gave me degrees
1240,جميع ما,on everything
1241,يجوز,he taught
1242,له,according to his system 
1243,وعنه,or a borrowed system
1244,وسمعت,I studied
1245,بقراءة,0
1246,الصحيحين,the two Sahih
1247,والموطّأ,the Muatļas 
1248,والشفا,and the Shifa
1249,وُالدَ,he was born
1250,فاتح,at the beginning of 
1251,المحرّم,Moharrem
1252,عام,of the year
1253,تسعة وعشرين وتسعماية,929
1254,ورايت,I saw
1255,له,him
1256,بعد,after
1257,وفاته,his death
1258,رويا,in a […] dream
1259,حسنة,beautiful
1260,رحمه,have mercy on him!
1261,الله,God
1262,"تعالى،",0
1263,احمد بن محمّد بن سعيد,Ahmed-ben-Mohammed-ben-Sa'id
1264,سبط,son of the daughter 
1265,الفقيه,of the jurisconsult 
1266,محمود بن عمر,Mahmud-ben-'Omar
1267,فقيه,a jurisconsult
1268,عالم,theologian
1269,محصّل,scholar
1270,مدرّس,teacher
1271,حضر,attended
1272,على,0
1273,جدّه,his grandfather's
1274,المذكور,lessons
1275,الرسالة,the Risâla 
1276,ومختصر,and the Mokhtasar 
1277,خليل,of Khelil
1278,مرّة,once
1279,واخذ,he studied
1280,عن,under
1281,غيره,other masters
1282,المختصر,the Mokhtasar 
1283,والمدوّنه,and the Modaouquama
1284,انتفع,benefitted
1285,الناس,the population
1286,به,0
1287,من,from
1288,عام,the year
1289,ستّين,960
1290,الى,until
1291,وفاته,his death
1292,في,in
1293,المحرّم,Moharrem
1294,فاتح,the first
1295,"ستّ وسبعين وتسعماية،",of […] 976
1296,ومنهم,0
1297,الفقيهان ,The jurisconsult
1298,الاخوان,0
1299,شيخنا,our master 
1300,محمّد,Mohammed
1301,واخوه,and his brother 
1302,احمد,Ahmed
1303,قرأ,he studied
1304,عليه,under the direction of the former 
1305,الموطّأ,the Mouatta
1306,والمدوّنة,the Modaouana
1307,وخليلاً,the Mokhtasar of Khelil 
1308,وغيرها,and other works 
1309,وله,he is the author of
1310,حاشية,a marginal gloss 
1311,على,on
1312,خليل,Khelil
1313,اعتمد,he deals
1314,فيه,in which
1315,على,with
1316,البيان,the form
1317,والتحصيل,and substance
1318,ولد,he was born
1319,عام,0
1320,احدى وثلاثين,931
1321,ادركته,I knew him
1322,وانا,as
1323,صغير,a young man
1324,وحضرت,and attended
1325,"دولته،",his course
1326,محمّد بن محمود هبن ابى بكر,Mohammed-ben-Mahmoud-ben-'Abu-Bekr
1327,الونكريّ,the Ouankori
1328,التنبكتيّ,the Timbuktu
1329,عرف,he is […] known
1330,ببغيع,as Baghyo'o 
1331,بباء,ba
1332,مفتوحة,with the vowel a
1333,فغين,ghain 
1334,معجمة,with the djezm
1335,ساكنة,0
1336,فياء,ya 
1337,مضمومة,with the vowel o 
1338,فعين,and 'ain
1339,مهملة,0
1340,مضمومة,with the vowel o
1341,شيخا,our master
1342,وبركتنا,and protector
1343,الفقيه,jurisconsult
1344,العالم,theologian
1345,المتفنّن,scholar
1346,الصالح,virtuous
1347,العابد,pious
1348,الناسك,devout
1349,كان,he was
1350,من,one of
1351,صالحي,virtuous
1352,خيار,best
1353,عباد,creatures
1354,الله,God's
1355,والعلماء,scholar
1356,العاملين,practicing
1357,مطبوعاً,imbued 
1358,على,with
1359,الخير,goodness
1360,وحسن,perfect
1361,النيّة,of […] loyalty
1362,وسلامة,pure
1363,الطويّة,of […] nature
1364,والانطباع,he […] inclined
1365,على,to
1366,الخير,goodness 
1367,واعتقاده,and to believe
1368,في,that
1369,الناس,everyone
1370,حتّى,so […] that
1371,كاد,0
1372,الناس,everyone
1373,يتساوون,was like
1374,عنده,him
1375,في,0
1376,حسن,excellent
1377,ظنّه,opinion
1378,بهم,of others
1379,وعدم,having no
1380,معرفة,knowledge
1381,الشرّ,of evil
1382,يسعى,he took care
1383,في,of
1384,حوائجهم,the affairs of others
1385,ويضرّ,harming 
1386,نفسه,himself
1387,في,in order to be
1388,نفعهمّ,of service to them
1389,ويتفجع,He was indulgent
1390,لمكروههم,to their weaknesses
1391,ويصلح,sought […] agreement
1392,بينهم,them
1393,وينصحهم,and urged them
1394,الى,to
1395,محبّة,love
1396,العلم,science
1397,وملازمة,follow
1398,تعليمه,its teachings
1399,وصرف,to spend
1400,اوقاته,every moment
1401,فيه,on it
1402,وصحبة,to frequent
1403,اهله,scholars
1404,والتواضع,to be […] docile
1405,التامّ,perfectly
1406,وبذل,lavished
1407,نفائس,the most precious
1408,الكتب,books
1409,الغريبة,the rarest
1410,العزيزة,the most cherished
1411,لهم,on them
1412,ولا,he never
1413,يفتّش,asked
1414,بعد ذلك,afterwards
1415,عنها,for them
1416,كائناً,0
1417,ما كان من,whatever
1418,جميع,0
1419,الفنون,science
1420,فضاع له,he lost
1421,بذلك,in this way
1422,جملة,a great number
1423,من,of
1424,كتبه,his books
1425,نفعه,be thankful to him
1426,الله,God
1427,بذلك,0
1428,وربّما,sometimes
1429,ياتى,would come
1430,لبابه,to his door
1431,طالب,a student
1432,يطلب,and ask for
1433,كتاباً,a book
1434,فيعطيه,and he would give it away 
1435,له,0
1436,من غير,without
1437,معرفته,knowing 
1438,من,who
1439,هو,he was
1440,فكان,it was
1441,العجب العجائب,truly amazing
1442,في ذلك,that he did this
1443,ايثاراً,to please
1444,لوجهه,to
1445,تعالى,God
1446,مع,in spit of
1447,محبّته,his passion
1448,للكتب,for books
1449,وتحصيلها,which he […] collected
1450,شراء,by buying
1451,ونسخاً,by having them copied
1452,وقد,0
1453,جئته,I went to him
1454,يوماً,one day
1455,اطلب,to ask for
1456,منه,0
1457,كتب,some […] books
1458,نحو,grammar
1459,ففتّش,he searched
1460,في,0
1461,خزانته,his library
1462,فاعطانى,and gave me
1463,كلّ,all
1464,ما,those
1465,ظفر,he could find
1466,به,0
1467,منها,those
1468,الى,me
1469,صبر,patience
1470,عظيم,great
1471,على,for
1472,التعليم,teaching
1473,اناء,moment
1474,النهار,of the day
1475,وعلى ايصال,and when it was a question of
1476,الفائدة,useful
1477,للبليد,to a pupil
1478,بلا,never
1479,ملل,he was […] discouraged
1480,ولا,never
1481,ضجر,put off
1482,حتّى,0
1483,يملّ,were obsessed with it
1484,خاطروها,those present
1485,وهو,but he
1486,لا,no
1487,يبالى,took […] notice
1488,حتّى,so […] that
1489,سمعت,I heard
1490,بعض,one
1491,اصحابنا,of our fellow students
1492,يقول,say
1493,اظنّ,I believe
1494,هذا,this
1495,الفقيه,jurisconsult
1496,شرب,drank
1497,ماء,the water
1498,زمزم,of Zemzem
1499,لئلّا,so that he would not
1500,يملّ,be put off
1501,في,0
1502,الاقراء,teaching
1503,تعجّباً,astonished
1504,من,at
1505,صبره,his patience
1506,مع ملازمة,did not prevent him
1507,العبادة,acts of piety
1508,والتجافى,he did not believe
1509,عن,in
1510,ردى,the bad
1511,الاخلاق,faith
1512,واضمار,and thought
1513,الخير,well
1514,لكلّ,always
1515,البرّيّة,of others
1516,حتّى الظلمة,as long as they had not done anything wrong
1517,مقبلاً,he was concerned
1518,على ما,only with
1519,يعنيه,his own affairs
1520,متجنّباً,refrained
1521,الخوض,from taking part
1522,في,in
1523,الفضول,gossip
1524,ارتدى,he draped himself
1525,من,of
1526,العفّة,discretion
1527,والمسكنة,and reserve
1528,ازين,0
1529,رداء,mantle
1530,واخذ,he held
1531,بيده,in his hand
1532,من,0
1533,النزاهة,continence
1534,اقوى,solid
1535,لواء,standard
1536,مع,0
1537,سكينة,calm
1538,ووقار,dignified
1539,وحسن,elite
1540,اخلاق,of […] nature
1541,وحياء,and a modesty
1542,سهلة,that made it easy
1543,الايراد,0
1544,والاصدار,to deal with him
1545,فاحبّه,he had won over
1546,القلوب,hearts
1547,كافّة,everyone
1548,واثنوا,making the most
1549,عليه,of him
1550,عامّة بلسان واحد,unanimous 
1551,الى الغاية,the most
1552,فلا,only
1553,ترى,one could see
1554,الّا,only
1555,محبًّا,in love
1556,مادحاً,glorifying
1557,ومثنياً,praising
1558,بالخير,0
1559,صادقاً,sincerely
1560,طويل الروح,long-suffering 
1561,لا,never
1562,يانف,he […] refused
1563,من,to
1564,تعليم,teach
1565,مبتد,a beginner
1566,او,or
1567,بليد افنى,a narrow-minded person
1568,فيه,0
1569,عمره,he spent his whole life
1570,مع,while
1571,تشبّثه,actively engaged
1572,بحوائج,in the affairs
1573,العامّة,of the people
1574,وامور,and the affairs
1575,القضاة,of the cadis
1576,لم,no on
1577,يصيبوا,found
1578,عنه,for him
1579,بديلاً,a replacement
1580,ولا,or
1581,نالوا,met
1582,له,his
1583,مثيلاً,equal
1584,طلبه,offered him
1585,السلطان,the Sultan
1586,بتولية,0
1587,ولاية,the government
1588,محلّته,of his palace
1589,فانف,he refused
1590,منه,0
1591,وامتنع,and rejected it
1592,واعرض,0
1593,عنه,on the prince
1594,واستشفع,insisting 
1595,فخلّصه,he was delievered
1596,الله,by God
1597,تعالى,0
1598,لازم,he devoted himself
1599,الاقراء,to teaching
1600,سيّما,especially 
1601,بعد,after 
1602,موت,the death of
1603,سيّدي,Sidi
1604,احمد بن سعيد,Ahmed-ben-Mohammed-ben-Said
1605,فادركته,when I knew him
1606,انا,I
1607,يقرى,he began
1608,من,after
1609,صلاة الصبح,the morning prayer 
1610,اوّل,0
1611,وقته,and continued them 
1612,الى,until
1613,الضحى,the […] doha
1614,الكبيرة,great
1615,دولاً,varying
1616,مختلفة,subjects
1617,ثمّ,then
1618,يقوم,he would go
1619,لبيته,home
1620,ويصلّى الضحى,and perform the doha prayer
1621,مدّة,0
1622,وربّما,and sometimes
1623,مشى,he would go
1624,للقاضى,to the qadi's house
1625,في,to attend to
1626,امر,the affairs
1627,الناس,of the people
1628,بعدها,0
1629,او,or
1630,يصلح بين الناس,to reconcile them
1631,ثمّ,after that
1632,يقرى,he would continue to teach
1633,في,at
1634,بيته,home
1635,وقت,until
1636,الزوال,noon
1637,ويصلّى الظهر,he would say the dohor prayer 
1638,بالناس,with all the faithful
1639,ويدرّس,and would resume his lessons
1640,الى,until
1641,العصر,the asr
1642,ثمّ,after
1643,يصلّيها,this […] prayer
1644,ويخرج,he would go
1645,لموضع,to […] place
1646,اخر,another
1647,يدرّس,to teach
1648,فيه,0
1649,للاصفرار,until dusk
1650,او,or
1651,قربه,about that time
1652,وبعد,after
1653,المغرب,the maghreb
1654,يدرّس,he would teach
1655,في,in
1656,الجامع,the mosque
1657,الى,until
1658,العشاء,the acha
1659,ويرجع,and he would return
1660,لبيته,home
1661,وسمعت,I have even heard
1662,انّه,that he
1663,يجىء,came
1664,اخر,at the end
1665,اليل,of the night
1666,على الدوام,always
1667,وكان,he was
1668,درّاكاً,a subtle
1669,ذكيًّا,sagacious
1670,فطناً,alert
1671,حاضر,quick
1672,الجواب,to reply
1673,سريع,quick
1674,الفهم,to understand
1675,منوّر,luminous
1676,البصيرة,of […] intelligence
1677,سكوناً,taciturn
1678,صموتاً,silent
1679,وقوراً,serious
1680,وربّما,sometimes
1681,انبسط,he would lighten up
1682,مع,0
1683,الناس,0
1684,وربّما,or else
1685,زجرهم,he would throw
1686,آية,something that testified 
1687,في,to
1688,جودة,his […] superiority
1689,الفهم,intellectual
1690,وسرعة,and the promptness
1691,الادراك,of his understanding
1692,معروفاً,well-known
1693,بذلك,0
1694,اخذ,he had learned
1695,العربيّة,Arabic
1696,والفقه,and law
1697,عن,from
1698,الفقيهين,2 […] jurisconsults
1699,الصالحين,virtuous
1700,والده,his father
1701,وخاله,and his maternal uncle
1702,ثمّ,0
1703,قطن,he settled
1704,مع,at the same time as
1705,اخيه,his brother
1706,الفقيه,the […] jurisconsult
1707,الصالح,virtuous
1708,احمد,Ahmed
1709,تنبكت,Timbuktu
1710,فلازما,both of them […] followed
1711,الفقيه,the jurisconsults
1712,احمد بن سعيد,Ahmed-ben-Mohammed-ben-Sa'id 
1713,في,on
1714,مختصر,the Mokhtasar 
1715,خليل,of Khelil
1716,ثمّ,then
1717,رحلا,they went
1718,للحجّ,on pilgrimage to Mecca 
1719,مع,with
1720,خالهما,their maternal uncle
1721,فلقوا,they met 
1722,الناصر القانيّ,En-Nâsir-El-Laqqâni
1723,والتاجوريّ,Et-Tadjouri
1724,والشريف,Sherif 
1725,يوسف الاوميونيّ,Youcef-El-Aumayouni
1726,والبرهموشيّ,El-Barahamouchi 
1727,الحنفيّ,hanafite
1728,والامام,Imam
1729,محمّد البكريّ,Mohammed-El-Bekri 
1730,وغيرهم,and other 
1731,فاستفادوا,and enjoyed 
1732,ثمّه,their talks
1733,ثمّ,0
1734,رجعا,they returned
1735,بعد,after
1736,حجّهما,the pilgrimage
1737,وموت,on the death of
1738,خالهما,their maternal uncle
1739,فنزلا,they settled
1740,بتنبكت,in Timbuktu
1741,فاخذا,they studied
1742,عن,under
1743,ابن سعيد,Ibn-Sa'id
1744,الفقه,law
1745,والحديث,and tradition
1746,قرأا,they explained
1747,عليه,with him
1748,الموطّأ,the Mouatta
1749,والمدّونة,the Modaououana
1750,والمختصر,the Mokhtasar
1751,وغيرها,etc.
1752,ولازماه,they studied
1753,وعن,with
1754,سيّدى,0
1755,والدى,my father
1756,الاصول,the Osul
1757,والبيان,the rhetoric
1758,والمنطق,the logic
1759,قرأا,by explaining
1760,عليه,0
1761,اصول,the Osul
1762,السبكّى,of Es-Sebki 
1763,وتلخيص,and the Telkhis 
1764,المفتاح,el-miftah 
1765,وحضر,studied
1766,عليه,with my father
1767,شيخنا,0
1768,وحده,alone
1769,جمل,the Djomel 
1770,الخونجيّ,of El-Khoundji
1771,ولازم,he was engaged
1772,مع ذلك,at the same time
1773,الاقراء,in teaching
1774,حتّى,0
1775,صار,became
1776,اخيراً,the greatest
1777,شيخ,master
1778,وقته,of his time
1779,في,0
1780,الفنون,0
1781,لا,without
1782,نظير,anyone […] to compare
1783,له,to him
1784,ولازمته,I followed his courses
1785,اكثر,more
1786,من,than
1787,عشر,10
1788,سنين,years
1789,فختمت,I saw
1790,عليه,with him
1791,مختصر,the […] Mokhtasar
1792,خليل,of Khelil
1793,بقراءته,with the interpretations he gave 
1794,وقراءة,and those
1795,غيره,from others
1796,نحو,about
1797,ثمانى,eight
1798,مرّات,times
1799,وختمت,I studied
1800,عليه,with him
1801,الموطّأ,the Mouatta
1802,قراءة,a complete
1803,فهم,understanding
1804,وتسهيل,the Teshil 
1805,ابن مالك,of Ibn-Mâlek
1806,قراءة,examined
1807,بحث,thoroughly
1808,وتحقيق,and in all its respects
1809,مرّة,0
1810,بثلاث,three
1811,سنين,years
1812,واصول,the Osul
1813,السبكّى,of Es-Sebki 
1814,بشرح,with the commentary 
1815,المحلّيّ,of El-Mahalli
1816,ثلاث,three
1817,مرّات,times
1818,قراءة,seen
1819,تحقيق,thoroughly
1820,والفيّة,the Alfiya
1821,العراقىّ,of El-Iraqi
1822,بشرح,with the commentary
1823,مولّفها,of the author
1824,وتلخيص,the Telkhis 
1825,المفتاح,el-miftah 
1826,بمختصر,with the abridgement
1827,السعد,of Es-Saad
1828,مرّتين,twice
1829,فازيد,at least
1830,وصغرى,the Soghra
1831,السنوسيّ,of Es-Senousi
1832,وشرح,the commentary
1833,الجزيرة,of El-Djezaïriya
1834,له,0
1835,وحكم,the Hikem
1836,ابن عطاء الله,of Ibn-'Ata-Allah
1837,مع,with
1838,شرح,commentary
1839,زرّوق,by Zerrouq
1840,ونظم,the Nadm
1841,ابى مقرعة,of Abu-Mogra'a 
1842,والهاشميّة,and the Hachemiya
1843,في,on
1844,التنجيم,astrology
1845,مع,with
1846,شرحهما,their commentaries
1847,ومقدّمة,the Moqaddima
1848,التاجوريّ,of Et-Tadjouri
1849,فيه,on this subject
1850,ورجز,the Redjez
1851,المغيلي,of El-Moghili
1852,في,on
1853,المنطق,logic
1854,والخزرجيّة,the Khazeredjia
1855,في,on
1856,العروض,metrics
1857,فشرح,the commentary
1858,الشريف,of […] sheriff
1859,السبتيّ,Es-Sibti
1860,وكثيراً,a large part
1861,من,of
1862,تحفة,Tohfat 
1863,الحكّام,el-hokkám
1864,لابن عاصم,Ibn-'Acem's
1865,مع,with
1866,شرحها,the commentary
1867,لولده,of the author's son
1868,كلّها,all
1869,بقراءته,according to his interpretations
1870,قرات,I […] studied
1871,عليه,with him
1872,فرعى,the Fera'ï
1873,ابن الحاجب,of Ibn El-Hâdjeb
1874,قراءة,0
1875,بحث,study
1876,جميعه,complete
1877,وحضرته,I attended his lectures
1878,في,on
1879,التوضيح,the Taudih 
1880,كذلك,also
1881,لم,only
1882,يفتنى,explained to me
1883,منه,of it
1884,الّا,only
1885,من,from
1886,الوديعة,the deposit 
1887,الى,to
1888,الاقضية,the judgments
1889,وكثيراً,a large part
1890,من,of
1891,المنتقى,El-Montega
1892,للباجيّ,El-Bâdji's
1893,والمدوّنة,the Modaouana 
1894,بشرح,with commentary
1895,ابى الحسن الزرويليّ,by Abu-'l-Hasen-Ez-Zerouaili
1896,وشفا,the Shifa
1897,عياض,of Iyâd
1898,وقرات,0
1899,عليه,0
1900,صحيح,the Sahih 
1901,البخاريّ,of El-Bokhari
1902,نحو,0
1903,النصف,half 
1904,وسمعته,0
1905,بقراءته,with his interpretation 
1906,وكذا,and
1907,صحيح,the Sahih 
1908,مسلم,of Moslim
1909,كلّه,the whole
1910,ودولاً,0
1911,من,0
1912,مدخل,the Modkhel
1913,ابن الحاجّ,of Ibn El-Hâdjeb
1914,ودروساً,his lessons 
1915,من,on
1916,الرسالة,the Risâla
1917,والالفيّة,the Alfiya
1918,وغيرها,etc.
1919,وفسّرت,I commented
1920,عليه,with him
1921,القران,the […] Qur'an
1922,العزيز,sublime
1923,الى,up to
1924,اثاء,the middle of
1925,سورة,the Sura
1926,الأعراف,of A'raf
1927,وسمعت,I heard
1928,بلفظه,him read
1929,جامع,Djam‘i
1930,المعيار,el-mi'yárs
1931,للونشريسي,of El-Ouancherisi
1932,كاملاً,the entire
1933,وهو,which
1934,سفر,volume
1935,كبير,large
1936,ومواضع,and […] matters
1937,اخر,other
1938,منه,0
1939,وباحثته,I […] discussed with him 
1940,كثيراً,often
1941,في,0
1942,المشكلات,doubtful points
1943,وراجعته,and had recourse 
1944,في,on
1945,المهمّات,important questions
1946,وبالجملة,To tell the truth
1947,فهو,he was
1948,شيخى,my teacher
1949,واستاذى,my master
1950,ما,no
1951,نفعنى,was as useful to me 
1952,احد,one
1953,كنفعه,as he was
1954,وبكتبه,or by his books
1955,رحمه,bless him
1956,الله,God
1957,تعالى,0
1958,وجازاه,and grant him
1959,بالجنّة,paradise
1960,واجازني,He gave me diplomas
1961,بخطّه,in his own handwriting 
1962,جميع,0
1963,ما يجوز له,on the subjects he taught
1964,وعنه,by his own method
1965,واقفته,I gave him
1966,على,0
1967,بعض,a number
1968,تواليفى,of my works
1969,فسرّ,0
1970,به,0
1971,وقرظ,flattering
1972,عليه,0
1973,لى,to me
1974,يخطّه,he put in his hand 
1975,بل,even
1976,كتب,he […] reproduced
1977,عنّى,0
1978,اشياء,some
1979,من,of
1980,ابحاثى,my researches
1981,وسمعته,and I heard him
1982,ينقل,quoting
1983,بعضها,some of them
1984,في,in
1985,دروسه,his lessions
1986,لانصافه,his impartiality
1987,وتواضعه,his modesty 
1988,وقبوله,his respect
1989,الحقّ,for the truth
1990,حيث,which
1991,تعيّن,proves
1992,وكان,he was
1993,معنا,with us
1994,يوم,on the day
1995,الواقعة,of […] misfortune
1996,علينا,our
1997,فكان,that was
1998,اخر,the last
1999,عهدى,time
2000,به,him
2001,ثمّ,then
2002,يلغنى,I learned
2003,انّه,that he
2004,توفّى,had died
2005,يوم الجمعة,on a Friday
2006,في,of
2007,شوال,Shaououal 
2008,عام,in the year
2009,الثنين والف,1002
2010,مولوده,he was born
2011,عام,0
2012,ثلاثين وتسعماية,930
2013,له,he is the author of
2014,تعاليق,notes
2015,وحواشى,and marginal glosses
2016,نبّه,he drew attention
2017,فيها,in which
2018,على,to
2019,ما,0
2020,وقع,the errors
2021,لشرّاح,by the commentators 
2022,خليل,of Khelil
2023,وغيره,and others
2024,وتتبّع,he had noted
2025,ما,all
2026,في,in
2027,الشرح,the […] commentary 
2028,الكبير,great
2029,للتنايّ,of Et-Tataï
2030,من,from
2031,السهو,0
2032,نقلاً,his quotations
2033,وتقريراً,0
2034,في,0
2035,غاية,extremely
2036,الافادة,useful
2037,جمعتها,I have condensed
2038,في,in
2039,جزءى,one of my
2040,تأليفاً,opuscules
2041,رحمه,have mercy on this master
2042,الله,God
2043,تعالى,0
2044,انتهى,this is the end
2045,ما,0
2046,كتبته,0
2047,من,from
2048,"الذيل،",the Edz-Dzil 
2049,ومن,of
2050,سادات,the lords
2051,اهل,of the people
2052,سكرى,of Sankore
2053,من,0
2054,روى,transmitted
2055,ثقات,0
2056,عن,from
2057,ثقات,a reliable source
2058,انه,0
2059,تصدّق,had given an alms 
2060,بالف,of 1000
2061,مثقال,mitsqals 
2062,ذهباً,gold
2063,على,into
2064,يد,the hands
2065,الشيخ,of the sheikh
2066,الفقيه,the jurisconsult
2067,الولّي,0
2068,الصالح,the virtuous 
2069,ابى عبد الله,'Abou-Abdallah
2070,القاضى,the cadi
2071,مودب محمّد الكابريّ,Moaddib-Mohammed-El-Kâbari
2072,وفرّقه,distributed it
2073,على,to
2074,المساكين,the poor
2075,في,at
2076,باب,the gate
2077,مسجد,of the mosque
2078,سنكرى,of Sankore
2079,وذلك,this
2080,انه,is what happened
2081,كانت,had broken out
2082,مجاعة,The famine 
2083,حينئذ,at that time
2084,فتكلّم,speaking
2085,الشيخ,the sheikh
2086,في,in
2087,مدرسته,his medrasa
2088,وقال,said
2089,من,whoever
2090,يفتح,gives alms
2091,في,of
2092,الف,a thousand
2093,مثقال,mitsqals
2094,اتكفّل,I will provide
2095,له,him
2096,الجنّة,paradise
2097,ففتحها,gave
2098,ذلك,that
2099,السيّد,0
2100,المتصدّق,generous
2101,وفرّقها,which was distributed 
2102,على,among
2103,المساكين,the poor
2104,وقيل,it is said
2105,رءى,saw
2106,بعد ذلك,later
2107,في,in
2108,المنام,a dream
2109,قائلا,someone
2110,يقول,who said
2111,له,to him
2112,لا,do not
2113,تتكفّل,make […] commitments
2114,علينا,in our name
2115,"بعد،",in the future
2116,وروى,it is related
2117,انّ,that
2118,الولّي,the saint
2119,الزاهد,the ascetic
2120,الفقيه,the jurisconsult 
2121,عبد الرحمن,'Abderrahman
2122,بن,son of
2123,الفقيه,the jurisconsult 
2124,محمود,Mahmud
2125,حكى,was relating
2126,هذه,the foregoing
2127,القصّة,adventure
2128,في,during
2129,مدرسته,his lecture
2130,في,in
2131,المسجد,the mosque
2132,فقال,said
2133,له,to him
2134,رجل,a man
2135,يا,O
2136,سيّدى,my lord
2137,وهنا,at this
2138,الساعةّ,hour
2139,من,anyone
2140,اذا,if
2141,تكفّلتَ,you promised
2142,له,to
2143,الجنّة,paradise
2144,يعطى,he would give
2145,الف,a thousand
2146,المثقال,mitsqals
2147,ذهباً,of gold
2148,فقال,replied
2149,السيّد,0
2150,عبد الرحمن,'Abderrahman
2151,في الجواب,replied
2152,الكبرىّ,El-Kâbari 
2153,وامثاله,and his kind
2154,هم,were
2155,رجال,the men
2156,هذا,such
2157,"الطريق،",a path
2158,ومنهم,0
2159,هذا,mentioned above
2160,الشيخ,the sheikh
2161,اعنى,that is to say
2162,الفقيه,the jurisconsult
2163,القاضى,the cadi
2164,مودب محمد الكبريّ,Moaddib-Mohammed-El-Kâbari
2165,شيخ,the master
2166,الشيوخ,of masters
2167,رحمه,have mercy on him
2168,الله,God
